2017-01-09 08:40:09,694 INFO  - Starting HiveMQ Server
2017-01-09 08:40:09,710 INFO  - HiveMQ version: 3.0.1
2017-01-09 08:40:09,710 INFO  - HiveMQ home directory: C:\Users\alex__000\Desktop\mqttBroker\hivemq-3.0.1
2017-01-09 08:40:11,597 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2017-01-09 08:40:12,613 INFO  - The HiveMQ cluster ID is f12d1f72-effe-4dba-a9a0-f48e8d5c92fe
2017-01-09 08:40:12,775 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2017-01-09 08:40:12,775 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2017-01-09 08:40:12,775 INFO  - Loaded Plugin HiveMQ MQTT Message Log Plugin - v3.0.0
2017-01-09 08:40:12,775 INFO  - JMX Metrics Reporting started.
2017-01-09 08:40:12,797 INFO  - Starting TCP listener on address 172.17.205.246 and port 1884
2017-01-09 08:40:12,929 INFO  - Starting Websocket listener on address 172.17.205.246 and port 8000
2017-01-09 08:40:12,944 INFO  - Started TCP Listener on address 172.17.205.246 and on port 1884
2017-01-09 08:40:12,944 INFO  - Started Websocket Listener on address 172.17.205.246 and on port 8000
2017-01-09 08:40:12,944 INFO  - Started HiveMQ in 3238ms
2017-01-09 08:40:13,564 INFO  - A new HiveMQ Version (3.2.1) is available. Visit http://www.hivemq.com/ for more details.
2017-01-09 08:51:12,690 INFO  - Client paho/25A027D452C7F90FDC connected
2017-01-09 08:51:12,898 INFO  - Subscribe from client paho/25A027D452C7F90FDC received: Ahoii/# QoS: 0
2017-01-09 08:52:26,290 INFO  - Client myclientid_68 connected
2017-01-09 08:52:30,742 INFO  - Client myclientid_68 sent a message to topic "Ahoii/Test": "startPosition" (QoS: 2, retained: false)
2017-01-09 08:52:33,942 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-09 08:52:33,942 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,080 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "148" (QoS: 2, retained: false)
2017-01-09 08:52:34,080 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,080 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "148" (QoS: 2, retained: false)
2017-01-09 08:52:34,080 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,080 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "148" (QoS: 2, retained: false)
2017-01-09 08:52:34,080 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,096 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "148" (QoS: 2, retained: false)
2017-01-09 08:52:34,096 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,096 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-09 08:52:34,111 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,475 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-09 08:52:34,475 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "151" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "151" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "175" (QoS: 2, retained: false)
2017-01-09 08:52:34,481 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-09 08:52:34,559 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "153" (QoS: 2, retained: false)
2017-01-09 08:52:34,559 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "176" (QoS: 2, retained: false)
2017-01-09 08:52:34,559 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "154" (QoS: 2, retained: false)
2017-01-09 08:52:34,559 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "176" (QoS: 2, retained: false)
2017-01-09 08:52:34,559 INFO  - Client myclientid_68 sent a message to topic "Ahoii/alpha": "154" (QoS: 2, retained: false)
2017-01-09 08:52:34,559 INFO  - Client myclientid_68 sent a message to topic "Ahoii/gamma": "176" (QoS: 2, retained: false)
