2017-01-04 09:12:20,646 INFO  - Starting HiveMQ Server
2017-01-04 09:12:20,662 INFO  - HiveMQ version: 3.0.1
2017-01-04 09:12:20,662 INFO  - HiveMQ home directory: C:\Users\alex__000\Desktop\mqttBroker\hivemq-3.0.1
2017-01-04 09:12:22,549 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2017-01-04 09:12:23,539 INFO  - The HiveMQ cluster ID is e6e7c221-9edd-487a-a7f9-d55937a8789b
2017-01-04 09:12:23,689 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2017-01-04 09:12:23,689 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2017-01-04 09:12:23,689 INFO  - Loaded Plugin HiveMQ MQTT Message Log Plugin - v3.0.0
2017-01-04 09:12:23,708 INFO  - JMX Metrics Reporting started.
2017-01-04 09:12:23,708 INFO  - Starting TCP listener on address 192.168.178.78 and port 1884
2017-01-04 09:12:23,855 INFO  - Starting Websocket listener on address 192.168.178.78 and port 8000
2017-01-04 09:12:23,855 INFO  - Started TCP Listener on address 192.168.178.78 and on port 1884
2017-01-04 09:12:23,855 INFO  - Started Websocket Listener on address 192.168.178.78 and on port 8000
2017-01-04 09:12:23,855 INFO  - Started HiveMQ in 3209ms
2017-01-04 09:12:24,255 INFO  - A new HiveMQ Version (3.2.1) is available. Visit http://www.hivemq.com/ for more details.
2017-01-04 09:13:05,318 INFO  - Client paho/CF3805734FF92052E7 connected
2017-01-04 09:13:05,356 INFO  - Subscribe from client paho/CF3805734FF92052E7 received: Ahoii/# QoS: 0
2017-01-04 09:13:44,325 INFO  - Client myclientid_73 connected
2017-01-04 09:13:46,051 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,135 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,167 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "248" (QoS: 2, retained: false)
2017-01-04 09:13:46,253 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "248" (QoS: 2, retained: false)
2017-01-04 09:13:46,306 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "248" (QoS: 2, retained: false)
2017-01-04 09:13:46,389 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "248" (QoS: 2, retained: false)
2017-01-04 09:13:46,488 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "248" (QoS: 2, retained: false)
2017-01-04 09:13:46,538 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "248" (QoS: 2, retained: false)
2017-01-04 09:13:46,622 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,669 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,722 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,790 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,837 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,906 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:46,968 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,021 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,090 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,153 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,237 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,306 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,752 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,837 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:47,905 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:48,105 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:48,289 INFO  - Client myclientid_73 sent a message to topic "Ahoii/alpha": "250" (QoS: 2, retained: false)
2017-01-04 09:13:49,186 INFO  - Client myclientid_73 disconnected
2017-01-04 09:14:35,961 INFO  - Client myclientid_96 connected
2017-01-04 09:14:39,857 INFO  - Client myclientid_96 sent a message to topic "Ahoii/Test": "startPosition" (QoS: 2, retained: false)
2017-01-04 09:14:42,840 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "148" (QoS: 2, retained: false)
2017-01-04 09:14:43,002 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "147" (QoS: 2, retained: false)
2017-01-04 09:14:43,002 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "147" (QoS: 2, retained: false)
2017-01-04 09:14:43,187 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "146" (QoS: 2, retained: false)
2017-01-04 09:14:43,187 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "147" (QoS: 2, retained: false)
2017-01-04 09:14:43,187 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "147" (QoS: 2, retained: false)
2017-01-04 09:14:43,218 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "152" (QoS: 2, retained: false)
2017-01-04 09:14:43,356 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-04 09:14:43,356 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-04 09:14:43,556 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "157" (QoS: 2, retained: false)
2017-01-04 09:14:43,556 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "163" (QoS: 2, retained: false)
2017-01-04 09:14:43,556 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "167" (QoS: 2, retained: false)
2017-01-04 09:14:43,740 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "170" (QoS: 2, retained: false)
2017-01-04 09:14:43,740 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "183" (QoS: 2, retained: false)
2017-01-04 09:14:43,740 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "176" (QoS: 2, retained: false)
2017-01-04 09:14:43,740 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "178" (QoS: 2, retained: false)
2017-01-04 09:14:43,740 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "177" (QoS: 2, retained: false)
2017-01-04 09:14:43,740 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "180" (QoS: 2, retained: false)
2017-01-04 09:14:43,787 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "185" (QoS: 2, retained: false)
2017-01-04 09:14:43,787 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "174" (QoS: 2, retained: false)
2017-01-04 09:14:43,855 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "192" (QoS: 2, retained: false)
2017-01-04 09:14:43,855 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "172" (QoS: 2, retained: false)
2017-01-04 09:14:43,918 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "201" (QoS: 2, retained: false)
2017-01-04 09:14:43,918 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "167" (QoS: 2, retained: false)
2017-01-04 09:14:43,971 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "210" (QoS: 2, retained: false)
2017-01-04 09:14:43,971 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "164" (QoS: 2, retained: false)
2017-01-04 09:14:44,038 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "214" (QoS: 2, retained: false)
2017-01-04 09:14:44,040 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "163" (QoS: 2, retained: false)
2017-01-04 09:14:44,087 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "220" (QoS: 2, retained: false)
2017-01-04 09:14:44,087 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "160" (QoS: 2, retained: false)
2017-01-04 09:14:44,156 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "226" (QoS: 2, retained: false)
2017-01-04 09:14:44,156 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "157" (QoS: 2, retained: false)
2017-01-04 09:14:44,202 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "228" (QoS: 2, retained: false)
2017-01-04 09:14:44,202 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "156" (QoS: 2, retained: false)
2017-01-04 09:14:44,271 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "224" (QoS: 2, retained: false)
2017-01-04 09:14:44,271 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "156" (QoS: 2, retained: false)
2017-01-04 09:14:44,337 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "217" (QoS: 2, retained: false)
2017-01-04 09:14:44,340 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "158" (QoS: 2, retained: false)
2017-01-04 09:14:44,387 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "212" (QoS: 2, retained: false)
2017-01-04 09:14:44,387 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "160" (QoS: 2, retained: false)
2017-01-04 09:14:44,455 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "205" (QoS: 2, retained: false)
2017-01-04 09:14:44,455 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "161" (QoS: 2, retained: false)
2017-01-04 09:14:44,518 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "198" (QoS: 2, retained: false)
2017-01-04 09:14:44,518 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "163" (QoS: 2, retained: false)
2017-01-04 09:14:44,571 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "192" (QoS: 2, retained: false)
2017-01-04 09:14:44,571 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "165" (QoS: 2, retained: false)
2017-01-04 09:14:44,640 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "187" (QoS: 2, retained: false)
2017-01-04 09:14:44,640 INFO  - Client myclientid_96 sent a message to topic "Ahoii/gamma": "166" (QoS: 2, retained: false)
2017-01-04 09:14:44,703 INFO  - Client myclientid_96 sent a message to topic "Ahoii/alpha": "180" (QoS: 2, retained: false)
