2017-01-06 11:38:00,363 INFO  - Starting HiveMQ Server
2017-01-06 11:38:00,395 INFO  - HiveMQ version: 3.0.1
2017-01-06 11:38:00,410 INFO  - HiveMQ home directory: C:\Users\alex__000\Desktop\mqttBroker\hivemq-3.0.1
2017-01-06 11:38:03,347 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2017-01-06 11:38:04,633 INFO  - The HiveMQ cluster ID is 634e7bfa-b41d-41bd-8303-615719143d19
2017-01-06 11:38:04,945 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2017-01-06 11:38:04,950 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2017-01-06 11:38:04,951 INFO  - Loaded Plugin HiveMQ MQTT Message Log Plugin - v3.0.0
2017-01-06 11:38:05,009 INFO  - JMX Metrics Reporting started.
2017-01-06 11:38:05,023 INFO  - Starting TCP listener on address 192.168.178.78 and port 1884
2017-01-06 11:38:05,244 INFO  - Starting Websocket listener on address 192.168.178.78 and port 8000
2017-01-06 11:38:05,256 INFO  - Started TCP Listener on address 192.168.178.78 and on port 1884
2017-01-06 11:38:05,256 INFO  - Started Websocket Listener on address 192.168.178.78 and on port 8000
2017-01-06 11:38:05,258 INFO  - Started HiveMQ in 4856ms
2017-01-06 11:38:05,616 INFO  - A new HiveMQ Version (3.2.1) is available. Visit http://www.hivemq.com/ for more details.
2017-01-06 11:49:31,234 INFO  - Client paho/C026CE9F09DEDA968C connected
2017-01-06 11:49:31,303 INFO  - Subscribe from client paho/C026CE9F09DEDA968C received: Ahoii/# QoS: 0
2017-01-06 11:49:47,708 INFO  - Client myclientid_49 connected
2017-01-06 11:49:50,013 INFO  - Client myclientid_49 sent a message to topic "Ahoii/Test": "startPosition" (QoS: 2, retained: false)
2017-01-06 11:49:51,938 INFO  - Client myclientid_49 sent a message to topic "Ahoii/Test": "maxLeftPosition" (QoS: 2, retained: false)
2017-01-06 11:50:00,146 INFO  - Client myclientid_49 sent a message to topic "Ahoii/Test": "maxRightPosition" (QoS: 2, retained: false)
2017-01-06 11:50:11,731 INFO  - Client paho/C026CE9F09DEDA968C disconnected
2017-01-06 11:50:41,969 INFO  - Client myclientid_49 disconnected
2017-01-06 11:50:43,490 INFO  - Client myclientid_66 connected
2017-01-06 11:50:46,276 INFO  - Client myclientid_66 sent a message to topic "Ahoii/Test": "startPosition" (QoS: 2, retained: false)
2017-01-06 11:50:47,362 INFO  - Client myclientid_66 sent a message to topic "Ahoii/Test": "maxLeftPosition" (QoS: 2, retained: false)
2017-01-06 11:51:12,444 INFO  - Client myclientid_66 disconnected
2017-01-06 11:51:13,740 INFO  - Client myclientid_41 connected
2017-01-06 11:51:16,015 INFO  - Client myclientid_41 sent a message to topic "Ahoii/Test": "startPosition" (QoS: 2, retained: false)
2017-01-06 11:51:18,690 INFO  - Client myclientid_41 sent a message to topic "Ahoii/Test": "maxLeftPosition" (QoS: 2, retained: false)
2017-01-06 11:51:19,877 INFO  - Client myclientid_41 sent a message to topic "Ahoii/Test": "maxRightPosition" (QoS: 2, retained: false)
2017-01-06 11:51:20,877 INFO  - Client myclientid_41 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-06 11:51:30,405 INFO  - Client paho/328F8126D26F73DE23 connected
2017-01-06 11:51:30,436 INFO  - Subscribe from client paho/328F8126D26F73DE23 received: Ahoii/# QoS: 0
2017-01-06 11:51:33,783 INFO  - Client myclientid_41 disconnected
2017-01-06 11:51:35,220 INFO  - Client myclientid_20 connected
2017-01-06 11:51:37,112 INFO  - Client myclientid_20 sent a message to topic "Ahoii/Test": "startPosition" (QoS: 2, retained: false)
2017-01-06 11:51:38,020 INFO  - Client myclientid_20 sent a message to topic "Ahoii/Test": "maxLeftPosition" (QoS: 2, retained: false)
2017-01-06 11:52:26,831 INFO  - Client paho/328F8126D26F73DE23 disconnected
2017-01-06 11:52:30,278 INFO  - Client paho/E05C5A8890418C9417 connected
2017-01-06 11:52:30,310 INFO  - Subscribe from client paho/E05C5A8890418C9417 received: Ahoii/# QoS: 0
2017-01-06 11:52:33,560 INFO  - Client myclientid_20 disconnected
2017-01-06 11:52:34,786 INFO  - Client myclientid_74 connected
2017-01-06 11:52:36,391 INFO  - Client myclientid_74 sent a message to topic "Ahoii/Test": "startPosition" (QoS: 2, retained: false)
2017-01-06 11:52:37,286 INFO  - Client myclientid_74 sent a message to topic "Ahoii/Test": "maxLeftPosition" (QoS: 2, retained: false)
2017-01-06 11:52:38,052 INFO  - Client myclientid_74 sent a message to topic "Ahoii/Test": "maxRightPosition" (QoS: 2, retained: false)
2017-01-06 11:52:39,189 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-06 11:52:39,222 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-06 11:52:39,280 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "150" (QoS: 2, retained: false)
2017-01-06 11:52:39,291 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "152" (QoS: 2, retained: false)
2017-01-06 11:52:39,338 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "154" (QoS: 2, retained: false)
2017-01-06 11:52:39,390 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-06 11:52:39,422 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-06 11:52:39,454 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "156" (QoS: 2, retained: false)
2017-01-06 11:52:39,491 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "156" (QoS: 2, retained: false)
2017-01-06 11:52:39,523 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "156" (QoS: 2, retained: false)
2017-01-06 11:52:39,554 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-06 11:52:39,591 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-06 11:52:39,623 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-06 11:52:39,670 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "155" (QoS: 2, retained: false)
2017-01-06 11:52:39,707 INFO  - Client myclientid_74 sent a message to topic "Ahoii/alpha": "156" (QoS: 2, retained: false)
